coin,month,monthly_return
BNB,2020-07,0.34090481609314427
BNB,2020-08,0.12216404097393063
BNB,2020-09,0.2629160849017895
BNB,2020-10,-0.029349108264679513
BNB,2020-11,0.10416616771137077
BNB,2020-12,0.1905930793145416
BNB,2021-01,0.18460919647806362
BNB,2021-02,3.733364200599553
BNB,2021-03,0.44131842138448385
BNB,2021-04,1.0660578914055
BNB,2021-05,-0.4322378154738571
BNB,2021-06,-0.14402836909241312
BNB,2021-07,0.09974986916906858
BNB,2021-08,0.3923528738481108
BNB,2021-09,-0.16657680640643469
BNB,2021-10,0.3547461404333889
BNB,2021-11,0.18747537447386486
BNB,2021-12,-0.17820285648947132
BNB,2022-01,-0.2666186893840503
BNB,2022-02,0.05418689808407584
BNB,2022-03,0.08418259429527475
BNB,2022-04,-0.11925009123267516
BNB,2022-05,-0.15163471176608534
BNB,2022-06,-0.31572453906317166
BNB,2022-07,0.29311147031137064
BNB,2022-08,-0.015309181807105943
BNB,2022-09,0.017741823727328354
BNB,2022-10,0.14837990969687453
BNB,2022-11,-0.07833778497254773
BNB,2022-12,-0.1810045504309914
BNB,2023-01,0.26796050800691074
BNB,2023-02,-0.0348514334547374
BNB,2023-03,0.051630134125581595
BNB,2023-04,0.06499346842604137
BNB,2023-05,-0.09115725107328099
BNB,2023-06,-0.21669642842935755
BNB,2023-07,0.003123810931263682
BNB,2023-08,-0.1017036804578223
BNB,2023-09,-0.008201788339840865
BNB,2023-10,0.05408512494451778
BNB,2023-11,0.0054931385296794755
BNB,2023-12,0.37223504415042874
BNB,2024-01,-0.038678759389260464
BNB,2024-02,0.3310380796236183
BNB,2024-03,0.5181114063879186
BNB,2024-04,-0.04682845462971996
BNB,2024-05,0.02598895879150276
BNB,2024-06,-0.01979912116796445
BNB,2024-07,-0.009287078599935494
BNB,2024-08,-0.07542261026328245
BNB,2024-09,0.06448356794606491
BNB,2024-10,0.015468062206659194
BNB,2024-11,0.1359201224783586
BNB,2024-12,0.071306182745273
BNB,2025-01,-0.03368324285420221
BNB,2025-02,-0.13275322897089348
BNB,2025-03,0.029996030050265077
BNB,2025-04,-0.008909858694893913
BNB,2025-05,0.09808466710805086
BNB,2025-06,-0.0022413808285094428
BNB,2025-07,0.1927497674575891
BNB,2025-08,0.09461924700596192
BNB,2025-09,0.17563970750942648
BNB,2025-10,0.07979504681748728
BNB,2025-11,-0.19411139657626297
BNB,2025-12,-0.016316973355112063
BNB,2026-01,-0.09588429657522213
BNB,2026-02,-0.20914976149679088
BNB,2026-03,0.04873536099452558
BTC,2020-01,0.298653183377654
BTC,2020-02,-0.08031850219040415
BTC,2020-03,-0.2512776381554316
BTC,2020-04,0.34477896223547777
BTC,2020-05,0.09268347920493669
BTC,2020-06,-0.034146858566218796
BTC,2020-07,0.23916341296986654
BTC,2020-08,0.03155866679660568
BTC,2020-09,-0.07673511599209415
BTC,2020-10,0.27785306210931693
BTC,2020-11,0.42412327779021397
BTC,2020-12,0.4777317407260122
BTC,2021-01,0.14180671257315702
BTC,2021-02,0.3630875059394092
BTC,2021-03,0.3053111095899208
BTC,2021-04,-0.019835020649765833
BTC,2021-05,-0.3535455959448168
BTC,2021-06,-0.061394166143239115
BTC,2021-07,0.18793385485283154
BTC,2021-08,0.1331010952575873
BTC,2021-09,-0.07157155076344912
BTC,2021-10,0.4002672858735892
BTC,2021-11,-0.0703458026496051
BTC,2021-12,-0.187683546296202
BTC,2022-01,-0.16894668246945133
BTC,2022-02,0.12239415003329435
BTC,2022-03,0.05430112933630071
BTC,2022-04,-0.17180562778839736
BTC,2022-05,-0.15703524015723125
BTC,2022-06,-0.37768830820493027
BTC,2022-07,0.17954101668545652
BTC,2022-08,-0.14085561097212929
BTC,2022-09,-0.030822039575552407
BTC,2022-10,0.054754833514188306
BTC,2022-11,-0.1623362514908746
BTC,2022-12,-0.03617484988577102
BTC,2023-01,0.3983555621967927
BTC,2023-02,0.0003487710673304445
BTC,2023-03,0.2303127593301919
BTC,2023-04,0.027751556410734013
BTC,2023-05,-0.07001134219991623
BTC,2023-06,0.11967798146804287
BTC,2023-07,-0.04092037651288627
BTC,2023-08,-0.11285070504336603
BTC,2023-09,0.03996854992056331
BTC,2023-10,0.28551947543569023
BTC,2023-11,0.08783270039094293
BTC,2023-12,0.12071360157473321
BTC,2024-01,0.007510151676247467
BTC,2024-02,0.4371685841866002
BTC,2024-03,0.16561329171152428
BTC,2024-04,-0.14995437921729304
BTC,2024-05,0.11304277803921758
BTC,2024-06,-0.07131456883230713
BTC,2024-07,0.03096697340206389
BTC,2024-08,-0.08742521094720113
BTC,2024-09,0.07392927032290197
BTC,2024-10,0.10872796248194061
BTC,2024-11,0.3736209803256605
BTC,2024-12,-0.03131032825862745
BTC,2025-01,0.09607082167329617
BTC,2025-02,-0.17608526437187222
BTC,2025-03,-0.021619399346929025
BTC,2025-04,0.14123018539860088
BTC,2025-05,0.11072156686350776
BTC,2025-06,0.023865516830480882
BTC,2025-07,0.08048574368152761
BTC,2025-08,-0.06497588926270625
BTC,2025-09,0.0537652608767869
BTC,2025-10,-0.03945358845178859
BTC,2025-11,-0.17490436733042602
BTC,2025-12,-0.03192108325399268
BTC,2026-01,-0.10156359224471045
BTC,2026-02,-0.14786431722631643
BTC,2026-03,0.06439238898859245
DOGE,2020-01,0.1775700613479636
DOGE,2020-02,-0.06641605765021852
DOGE,2020-03,-0.1897091565050838
DOGE,2020-04,0.34897841219020154
DOGE,2020-05,0.04584524052889205
DOGE,2020-06,-0.09197649166759048
DOGE,2020-07,0.390086271783201
DOGE,2020-08,-0.0012403194797381278
DOGE,2020-09,-0.18348340946168595
DOGE,2020-10,-0.02053229865639805
DOGE,2020-11,0.3784937701534916
DOGE,2020-12,0.31850176137596087
DOGE,2021-01,6.944468347463355
DOGE,2021-02,0.2918594152568066
DOGE,2021-03,0.11664440759536898
DOGE,2021-04,5.29109002494613
DOGE,2021-05,-0.03481156152895082
DOGE,2021-06,-0.21974459515590727
DOGE,2021-07,-0.1805597629084974
DOGE,2021-08,0.3366983993094006
DOGE,2021-09,-0.2665045510530927
DOGE,2021-10,0.37210390073149546
DOGE,2021-11,-0.2338283443016731
DOGE,2021-12,-0.20594276743876094
DOGE,2022-01,-0.16827965686846347
DOGE,2022-02,-0.06099215121056634
DOGE,2022-03,0.03507160068523296
DOGE,2022-04,-0.07450699757582857
DOGE,2022-05,-0.3268499410936998
DOGE,2022-06,-0.23034993390228964
DOGE,2022-07,0.03307811474588318
DOGE,2022-08,-0.10168150973343293
DOGE,2022-09,0.005266550799796654
DOGE,2022-10,1.0603378241894768
DOGE,2022-11,-0.158754968431843
